fecha,crisis Chile,caos Chile,colapso Chile,delincuencia,inseguridad Chile,estallido,Boric,Piñera,Bachelet,año,mes,narrativa_crisis_idx
2014-01-01,6,0.0,0.0,5,0,4,0.5,3,8,2014,1,2.2
2014-02-01,4,0.0,0.0,5,0,1,0.5,3,4,2014,2,1.8
2014-03-01,12,0.0,0.0,9,0,2,1.0,5,12,2014,3,4.2
2014-04-01,17,0.0,0.0,9,0,3,1.0,2,6,2014,4,5.2
2014-05-01,20,0.0,0.0,13,0,2,0.5,2,5,2014,5,6.6
2014-06-01,20,1.0,0.0,12,0,3,0.5,1,4,2014,6,6.6
2014-07-01,9,0.0,0.0,8,0,3,0.5,1,2,2014,7,3.4
2014-08-01,14,0.0,0.0,14,0,3,0.5,1,3,2014,8,5.6
2014-09-01,15,0.0,0.0,12,0,3,0.5,1,4,2014,9,5.4
2014-10-01,17,0.0,0.0,13,0,2,0.5,1,3,2014,10,6.0
2014-11-01,16,0.0,1.0,13,0,2,0.5,1,3,2014,11,6.0
2014-12-01,9,0.0,0.0,9,0,0,0.5,1,3,2014,12,3.6
2015-01-01,4,0.0,0.0,8,0,2,1.0,1,2,2015,1,2.4
2015-02-01,4,0.0,0.0,7,0,1,0.5,1,5,2015,2,2.2
2015-03-01,13,0.0,0.0,7,0,3,0.5,2,6,2015,3,4.0
2015-04-01,18,0.0,0.0,11,0,2,1.0,2,9,2015,4,5.8
2015-05-01,19,0.0,0.0,12,0,3,0.5,2,9,2015,5,6.2
2015-06-01,20,0.0,0.0,14,0,1,0.5,1,4,2015,6,6.8
2015-07-01,12,0.0,0.0,27,0,3,0.5,1,3,2015,7,7.8
2015-08-01,17,1.0,0.0,31,1,2,0.5,2,4,2015,8,10.0
2015-09-01,18,1.0,1.0,27,0,2,0.5,1,5,2015,9,9.4
2015-10-01,16,0.0,0.0,26,0,2,0.5,1,3,2015,10,8.4
2015-11-01,19,0.0,0.0,21,1,2,0.5,1,3,2015,11,8.2
2015-12-01,9,0.0,0.0,14,0,2,0.5,1,2,2015,12,4.6
2016-01-01,6,0.0,0.0,9,0,2,0.5,1,2,2016,1,3.0
2016-02-01,5,0.0,0.0,9,0,0,0.5,1,2,2016,2,2.8
2016-03-01,15,0.0,0.0,16,0,2,1.0,1,3,2016,3,6.2
2016-04-01,17,0.0,0.0,17,0,2,1.0,2,3,2016,4,6.8
2016-05-01,22,0.0,0.0,22,0,2,1.0,1,4,2016,5,8.8
2016-06-01,17,0.0,0.0,22,0,2,0.5,1,3,2016,6,7.8
2016-07-01,10,0.0,0.0,14,0,0,0.5,2,2,2016,7,4.8
2016-08-01,13,1.0,0.0,18,0,0,0.5,10,2,2016,8,6.4
2016-09-01,13,0.0,0.0,16,0,2,0.5,2,3,2016,9,5.8
2016-10-01,13,0.0,0.0,16,0,2,1.0,2,2,2016,10,5.8
2016-11-01,15,0.0,0.0,20,0,2,0.5,3,3,2016,11,7.0
2016-12-01,6,0.0,0.0,12,0,2,0.5,2,2,2016,12,3.6
2017-01-01,4,0.0,0.0,8,0,1,0.5,2,4,2017,1,2.4
2017-02-01,3,0.0,0.0,6,0,1,0.5,2,2,2017,2,1.8
2017-03-01,11,0.0,0.0,9,0,2,0.5,4,3,2017,3,4.0
2017-04-01,14,0.0,0.0,13,0,2,0.5,3,2,2017,4,5.4
2017-05-01,17,1.0,0.0,16,0,1,0.5,4,3,2017,5,6.8
2017-06-01,17,0.0,1.0,18,0,2,0.5,9,3,2017,6,7.2
2017-07-01,7,0.0,0.0,13,0,0,0.5,5,3,2017,7,4.0
2017-08-01,12,0.0,0.0,18,0,2,0.5,3,3,2017,8,6.0
2017-09-01,12,0.0,0.0,14,0,2,0.5,4,4,2017,9,5.2
2017-10-01,12,0.0,0.0,20,0,2,0.5,6,3,2017,10,6.4
2017-11-01,17,1.0,0.0,24,0,2,1.0,21,4,2017,11,8.4
2017-12-01,8,0.0,0.0,10,0,1,1.0,25,4,2017,12,3.6
2018-01-01,4,0.0,0.0,8,0,1,0.5,10,2,2018,1,2.4
2018-02-01,4,0.0,0.0,9,0,1,0.5,5,2,2018,2,2.6
2018-03-01,12,1.0,0.0,11,0,2,0.5,12,4,2018,3,4.8
2018-04-01,17,0.0,0.0,14,0,3,0.5,7,2,2018,4,6.2
2018-05-01,18,1.0,0.0,17,0,2,0.5,4,1,2018,5,7.2
2018-06-01,18,0.0,0.0,21,0,2,0.5,5,1,2018,6,7.8
2018-07-01,8,1.0,0.0,12,0,2,0.5,4,1,2018,7,4.2
2018-08-01,15,0.0,0.0,14,0,2,0.5,5,2,2018,8,5.8
2018-09-01,15,1.0,0.0,9,0,2,0.5,9,2,2018,9,5.0
2018-10-01,17,1.0,0.0,12,0,1,1.0,6,1,2018,10,6.0
2018-11-01,17,1.0,0.0,13,0,2,1.0,5,2,2018,11,6.2
2018-12-01,7,0.0,0.0,7,0,1,0.5,5,1,2018,12,2.8
2019-01-01,5,0.0,0.0,8,0,0,1.0,4,3,2019,1,2.6
2019-02-01,4,0.0,0.0,8,0,0,0.5,4,3,2019,2,2.4
2019-03-01,13,0.0,0.0,12,0,2,0.5,5,2,2019,3,5.0
2019-04-01,16,0.0,0.0,12,2,3,0.5,5,1,2019,4,6.0
2019-05-01,16,0.0,0.0,14,0,2,0.5,4,1,2019,5,6.0
2019-06-01,17,0.0,0.0,13,0,2,0.5,4,2,2019,6,6.0
2019-07-01,10,0.0,0.0,9,0,2,0.5,4,2,2019,7,3.8
2019-08-01,15,0.0,0.0,10,0,1,0.5,4,1,2019,8,5.0
2019-09-01,16,0.0,0.0,12,0,1,0.5,5,2,2019,9,5.6
2019-10-01,69,13.0,0.0,16,0,16,2.0,33,3,2019,10,19.6
2019-11-01,100,3.0,0.0,12,1,88,2.0,30,2,2019,11,23.2
2019-12-01,34,1.0,0.0,5,0,100,3.0,22,2,2019,12,8.0
2020-01-01,14,1.0,0.0,6,0,66,0.5,7,1,2020,1,4.2
2020-02-01,9,1.0,0.0,6,0,65,0.5,5,1,2020,2,3.2
2020-03-01,39,2.0,0.0,6,0,81,0.5,16,2,2020,3,9.4
2020-04-01,32,1.0,1.0,6,0,53,0.5,10,1,2020,4,8.0
2020-05-01,21,1.0,3.0,10,1,47,0.5,6,1,2020,5,7.2
2020-06-01,17,0.0,1.0,9,0,44,0.5,9,1,2020,6,5.4
2020-07-01,17,1.0,1.0,8,1,52,0.5,10,2,2020,7,5.6
2020-08-01,13,0.0,0.5,7,0,37,0.5,5,1,2020,8,4.1
2020-09-01,16,0.0,0.0,8,0,50,0.5,3,1,2020,9,4.8
2020-10-01,17,1.0,0.0,8,0,98,0.5,4,1,2020,10,5.2
2020-11-01,17,0.0,0.0,8,0,51,0.5,7,1,2020,11,5.0
2020-12-01,11,0.0,0.0,8,0,27,0.5,5,1,2020,12,3.8
2021-01-01,5,1.0,0.0,7,0,18,0.5,3,1,2021,1,2.6
2021-02-01,4,1.0,0.0,7,0,20,0.5,3,1,2021,2,2.4
2021-03-01,10,0.0,0.0,12,0,28,1.0,4,1,2021,3,4.4
2021-04-01,16,0.0,0.0,11,0,45,0.5,8,1,2021,4,5.4
2021-05-01,15,1.0,0.0,9,0,50,2.0,5,1,2021,5,5.0
2021-06-01,16,1.0,1.0,9,0,34,2.0,3,1,2021,6,5.4
2021-07-01,9,1.0,0.0,9,0,34,18.0,2,1,2021,7,3.8
2021-08-01,14,1.0,0.0,7,0,28,2.0,2,1,2021,8,4.4
2021-09-01,16,1.0,0.0,8,0,33,3.0,3,1,2021,9,5.0
2021-10-01,16,0.0,0.0,11,0,99,10.0,6,1,2021,10,5.4
2021-11-01,16,1.0,1.0,11,0,42,34.0,5,2,2021,11,5.8
2021-12-01,8,0.0,0.0,7,0,26,59.0,4,4,2021,12,3.0
2022-01-01,5,0.0,0.0,10,0,21,21.0,3,1,2022,1,3.0
2022-02-01,6,1.0,0.0,10,0,19,7.0,3,1,2022,2,3.4
2022-03-01,12,0.0,0.5,11,0,39,23.0,5,1,2022,3,4.7
2022-04-01,18,1.0,1.0,15,1,44,14.0,2,1,2022,4,7.2
2022-05-01,16,0.0,0.0,18,1,35,8.0,1,1,2022,5,7.0
2022-06-01,17,0.0,1.0,20,1,37,8.0,2,2,2022,6,7.8
2022-07-01,11,1.0,0.0,16,1,29,8.0,1,1,2022,7,5.8
2022-08-01,16,0.0,1.0,21,1,37,8.0,2,1,2022,8,7.8
2022-09-01,15,1.0,1.0,20,1,58,21.0,2,2,2022,9,7.6
2022-10-01,16,0.5,0.0,23,1,93,6.0,1,1,2022,10,8.1
2022-11-01,15,1.0,1.0,19,1,34,5.0,1,1,2022,11,7.4
2022-12-01,9,0.0,0.0,13,0,27,4.0,1,1,2022,12,4.4
2023-01-01,6,0.0,0.0,12,1,21,6.0,3,1,2023,1,3.8
2023-02-01,4,0.0,0.0,10,0,16,4.0,2,1,2023,2,2.8
2023-03-01,12,0.0,0.0,18,0,29,5.0,2,1,2023,3,6.0
2023-04-01,19,0.5,0.5,29,1,35,5.0,2,1,2023,4,10.0
2023-05-01,16,1.0,1.0,19,1,32,7.0,2,1,2023,5,7.6
2023-06-01,16,0.0,1.0,16,1,29,8.0,1,1,2023,6,6.8
2023-07-01,9,1.0,0.0,11,0,24,5.0,1,1,2023,7,4.2
2023-08-01,13,1.0,1.0,14,0,31,6.0,2,2,2023,8,5.8
2023-09-01,14,0.5,0.0,15,1,36,7.0,2,1,2023,9,6.1
2023-10-01,14,1.0,0.0,15,1,90,6.0,1,1,2023,10,6.2
2023-11-01,13,1.0,0.0,20,1,25,7.0,1,1,2023,11,7.0
2023-12-01,6,0.5,0.0,13,1,20,5.0,2,1,2023,12,4.1
2024-01-01,5,0.0,0.0,14,0,21,4.0,1,1,2024,1,3.8
2024-02-01,5,0.0,0.0,12,0,28,7.0,100,2,2024,2,3.4
2024-03-01,9,0.0,0.0,15,0,23,4.0,4,1,2024,3,4.8
2024-04-01,15,1.0,1.0,23,2,28,4.0,2,1,2024,4,8.4
2024-05-01,13,0.0,0.0,19,1,28,5.0,2,1,2024,5,6.6
2024-06-01,11,0.0,1.0,14,1,21,4.0,2,1,2024,6,5.4
2024-07-01,9,0.0,0.0,15,2,23,3.0,2,2,2024,7,5.2
2024-08-01,10,1.0,0.0,12,1,21,3.0,2,2,2024,8,4.8
2024-09-01,10,1.0,1.0,13,1,24,6.0,3,1,2024,9,5.2
2024-10-01,11,1.0,0.0,16,1,70,5.0,2,2,2024,10,5.8
2024-11-01,11,1.0,0.0,12,1,21,8.0,2,1,2024,11,5.0
2024-12-01,7,0.0,0.0,9,0,16,5.0,7,1,2024,12,3.2
2025-01-01,5,0.0,0.0,7,1,15,4.0,3,1,2025,1,2.6
2025-02-01,4,1.0,0.0,8,0,17,3.0,24,2,2025,2,2.6
2025-03-01,10,1.0,0.0,14,0,22,4.0,10,2,2025,3,5.0
2025-04-01,13,0.0,0.0,15,1,23,4.0,2,1,2025,4,5.8
2025-05-01,12,1.0,0.0,13,1,22,5.0,2,1,2025,5,5.4
2025-06-01,11,0.0,1.0,13,2,24,8.0,2,1,2025,6,5.4
2025-07-01,11,1.0,0.0,17,1,21,4.0,2,2,2025,7,6.0
2025-08-01,10,0.0,0.0,15,2,27,3.0,2,1,2025,8,5.4
2025-09-01,10,1.0,0.0,11,1,31,5.0,2,2,2025,9,4.6
2025-10-01,11,1.0,0.0,13,1,47,4.0,2,1,2025,10,5.2
2025-11-01,16,0.0,0.0,23,2,28,9.0,4,2,2025,11,8.2
2025-12-01,11,0.0,0.0,14,2,31,10.0,4,2,2025,12,5.4
